SiteType,Date,TimeChunk,ParasiteSpecies,Abundance,TotalSnails,,,,,,Species,Counts
Cultch Reef,8/2/2019,1-year Post-restoration,AV,0,285,,,,,,AV,0
Cultch Reef,5/7/2019,1-year Post-restoration,AV,0,200,,,,,,DN,0
Cultch Reef,3/18/2019,1-year Post-restoration,AV,0,285,,,,,,GA,1
Cultch Reef,8/2/2019,1-year Post-restoration,DN,0,285,,,,,,HQ,1
Cultch Reef,5/7/2019,1-year Post-restoration,DN,0,200,,,,,,LS,12
Cultch Reef,3/18/2019,1-year Post-restoration,DN,0,285,,,,,,PM,0
Cultch Reef,8/2/2019,1-year Post-restoration,GA,0,285,,,,,,SD,2
Cultch Reef,5/7/2019,1-year Post-restoration,GA,0,200,,,,,,ST,5
Cultch Reef,3/18/2019,1-year Post-restoration,GA,1,285,,,,,,ZL,9
Cultch Reef,8/2/2019,1-year Post-restoration,HQ,0,285,,,,,,,
Cultch Reef,5/7/2019,1-year Post-restoration,HQ,0,200,,,,,,,
Cultch Reef,3/18/2019,1-year Post-restoration,HQ,1,285,,,,,,,
Cultch Reef,8/2/2019,1-year Post-restoration,LS,0,285,,,,,,,
Cultch Reef,5/7/2019,1-year Post-restoration,LS,0,200,,,,,,,
Cultch Reef,3/18/2019,1-year Post-restoration,LS,12,285,,,,,,,
Cultch Reef,8/2/2019,1-year Post-restoration,PM,0,285,,,,,,,
Cultch Reef,5/7/2019,1-year Post-restoration,PM,0,200,,,,,,,
Cultch Reef,3/18/2019,1-year Post-restoration,PM,0,285,,,,,,,
Cultch Reef,8/2/2019,1-year Post-restoration,SD,0,285,,,,,,,
Cultch Reef,5/7/2019,1-year Post-restoration,SD,0,200,,,,,,,
Cultch Reef,3/18/2019,1-year Post-restoration,SD,2,285,,,,,,,
Cultch Reef,8/2/2019,1-year Post-restoration,ST,1,285,,,,,,,
Cultch Reef,5/7/2019,1-year Post-restoration,ST,0,200,,,,,,,
Cultch Reef,3/18/2019,1-year Post-restoration,ST,4,285,,,,,,,
Cultch Reef,8/2/2019,1-year Post-restoration,ZL,0,285,,,,,,,
Cultch Reef,5/7/2019,1-year Post-restoration,ZL,0,200,,,,,,,
Cultch Reef,3/18/2019,1-year Post-restoration,ZL,9,285,,,,,,,
