SiteType,Date,TimeChunk,ParasiteSpecies,Abundance,TotalSnails,,,,Species,Counts
Restored Reef,1/19/2018,Pre-restoration,AV,0,300,,,,AV,0
Restored Reef,3/19/2018,Pre-restoration,AV,0,100,,,,DN,1
Restored Reef,5/3/2018,Pre-restoration,AV,0,220,,,,GA,0
Restored Reef,1/19/2018,Pre-restoration,DN,1,300,,,,HQ,3
Restored Reef,3/19/2018,Pre-restoration,DN,0,100,,,,LS,7
Restored Reef,5/3/2018,Pre-restoration,DN,0,220,,,,PM,0
Restored Reef,1/19/2018,Pre-restoration,GA,0,300,,,,SD,0
Restored Reef,3/19/2018,Pre-restoration,GA,0,100,,,,ST,0
Restored Reef,5/3/2018,Pre-restoration,GA,0,220,,,,ZL,1
Restored Reef,1/19/2018,Pre-restoration,HQ,1,300,,,,,
Restored Reef,3/19/2018,Pre-restoration,HQ,0,100,,,,,
Restored Reef,5/3/2018,Pre-restoration,HQ,2,220,,,,,
Restored Reef,1/19/2018,Pre-restoration,LS,6,300,,,,,
Restored Reef,3/19/2018,Pre-restoration,LS,0,100,,,,,
Restored Reef,5/3/2018,Pre-restoration,LS,1,220,,,,,
Restored Reef,1/19/2018,Pre-restoration,PM,0,300,,,,,
Restored Reef,3/19/2018,Pre-restoration,PM,0,100,,,,,
Restored Reef,5/3/2018,Pre-restoration,PM,0,220,,,,,
Restored Reef,1/19/2018,Pre-restoration,SD,0,300,,,,,
Restored Reef,3/19/2018,Pre-restoration,SD,0,100,,,,,
Restored Reef,5/3/2018,Pre-restoration,SD,0,220,,,,,
Restored Reef,1/19/2018,Pre-restoration,ST,0,300,,,,,
Restored Reef,3/19/2018,Pre-restoration,ST,0,100,,,,,
Restored Reef,5/3/2018,Pre-restoration,ST,0,220,,,,,
Restored Reef,1/19/2018,Pre-restoration,ZL,1,300,,,,,
Restored Reef,3/19/2018,Pre-restoration,ZL,0,100,,,,,
Restored Reef,5/3/2018,Pre-restoration,ZL,0,220,,,,,
